mae_eucl,p50,p90,p95,rmse_eucl,eval_mode,model
1.5707911279638405,1.660812422119205,2.8467976941998963,3.058011509763016,1.7788020504553748,groupkfold_5,svr_rbf
1.5124976536962778,1.2250149609490038,2.901091345566393,3.1848917611094056,1.801196952029397,groupkfold_5,extratrees_500
1.6370460709192889,1.7079339622923502,2.931603339846008,3.2580525073785642,1.8773015208005355,groupkfold_5,rf_300
1.8281372655964603,1.5560802566637584,3.2747482053030494,3.7424882442086584,2.1402292300015815,groupkfold_5,gbrt
1.6897879564451828,1.3832614444145808,3.188503984977178,3.7813196246476113,1.9626318611427287,groupkfold_5,knn_k3
