mae_eucl,p50,p90,p95,rmse_eucl,eval_mode,model
1.6699262015802194,1.5426914792012094,2.6941553407329795,2.7558882415656787,1.8581278596633604,groupkfold_5,rf_300
1.7350063718662336,1.5575331054065784,2.6675719749978337,3.0622455933815123,1.9690308066389213,groupkfold_5,knn_k3
1.7409146022521003,1.4669812268737454,2.9568527186858575,3.292650707256994,1.9627252525870378,groupkfold_5,extratrees_500
1.8879930082425362,1.5701090010706884,3.2881908537654922,3.7100523347359218,2.1842000052060415,groupkfold_5,gbrt
1.7930103214516901,1.3915729459136392,3.3356063884731535,4.278145531892267,2.1397478035442066,groupkfold_5,svr_rbf
