mae_eucl,p50,p90,p95,rmse_eucl,eval_mode,model
1.3495318724665877,1.2308994395071782,2.0605756620565243,2.2775963187989534,1.5376956786048384,groupkfold_5,rf_300
1.2625767240849362,1.0985986804252206,2.1086096397112364,2.37493796944435,1.5045673863273807,groupkfold_5,extratrees_500
1.497676606110541,1.4607661373952032,2.424735982336365,2.5408920259256735,1.637401007312025,groupkfold_5,knn_k3
1.3829633675462363,1.2753140007712918,2.33580595994425,2.7576140623079413,1.6196175563641564,groupkfold_5,gbrt
1.5874335392899903,1.512038830956285,2.8475730913337083,2.9798056879586596,1.7974894455830714,groupkfold_5,svr_rbf
